	TCGA-BT-A20N	TCGA-BT-A20Q
LOC100130426	0.0	0.0
UBE2Q2P3	3.8933	5.4594
UBE2Q2P2	5.7305	10.4417
HMGB1P1	103.9108	148.8251
TIMM23B	738.4077	679.3286
MOXD2	0.0	0.0
LOC155060	115.4856	119.258
RNU12-2P	0.0	0.0
SSX9	0.0	0.0
LOC317712	0.0	0.0
CXorf67	0.0	0.0
EFCAB8	0.0	0.0
SRP14P1	3.4996	5.3004
LOC391343	0.0	0.0
TRIM75P	0.0	0.0
SPATA31B1P	0.0	0.0
REXO1L6P	0.0	0.0
SDR16C6P	0.0	0.0
LOC553137	0.0	0.0
KIAA1618	401.5748	350.7067
LOC645851	0.8749	0.0
RGPD7	26.0542	35.2562
HSPB1P1	2159.2301	1708.4806
PPBPP1	0.0	0.0
FRMPD2P2	0.0	0.0
ANKRD20A20P	4.3745	0.0
TMPRSS11E2	0.0	0.0
GTPBP6	640.4199	641.3428
EFCAB12	0.8749	0.8834
A1BG	13.9983	3.5336
A1CF	0.0	0.0
A2BP1	0.0	0.0
A2LD1	54.8469	55.2739
A2ML1	0.0	0.0
A2M	54673.5958	31100.6007
A4GALT	1314.9606	1060.0707
A4GNT	0.0	0.0
AAA1	0.0	0.0
AAAS	419.0726	601.5901
AACSL	0.0	0.0
AACS	343.832	307.4205
AADACL2	4.3745	7.9505
AADACL3	0.0	0.0
AADACL4	0.0	1.7668
AADAC	9.6238	1.7668
AADAT	134.7332	145.7597
AAGAB	735.783	756.1837
AAK1	915.1356	1047.7032
AAMP	2303.5871	2469.9647
AANAT	0.0	0.0
AARS2	342.9309	257.0671
AARSD1	1007.874	1219.9647
AARS	3432.196	4187.2792
AASDHPPT	481.1899	514.1343
AASDH	272.9659	210.2473
AASS	326.3342	187.2792
AATF	1244.9694	1619.258
AATK	131.2336	26.5018
ABAT	148.7314	92.7562
ABCA10	26.2467	24.735
ABCA11P	61.776	84.4346
ABCA12	0.0	0.0
ABCA13	0.0	0.0
ABCA17P	6.1242	1.7668
ABCA1	2919.5013	1909.894
